"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"1108","FUTCUR","JPYINR","FUTURE","28-May-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",776,1,1000,0.0025,"YEN - Indian Rupees","","","","",59.07,62.7225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",59.415,"JPYINR"
"1074","FUTCUR","EURINR","FUTURE","28-May-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",25981,1,1000,0.0025,"EURO - Indian Rupees","","","","",95.7625,101.685,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",96.8275,"EURINR"
"1092","FUTCUR","GBPINR","FUTURE","28-May-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",15255,1,1000,0.0025,"Pound-Indian Rupees","","","","",110.9525,117.815,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",113.6125,"GBPINR"
"1396","FUTCUR","USDINR","FUTURE","28-May-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",1058048,1,1000,0.0025,"US Dollar - Indian Rupee","","","","",82.8125,87.935,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",85.2475,"USDINR"
"15363","OPTCUR","USDINR","OPTION","26-Jun-2025",88.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",2.2475,2.9125,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.825,"USDINR"
"15298","OPTCUR","USDINR","OPTION","26-Jun-2025",80.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.8,5.49,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.9,"USDINR"
"15362","OPTCUR","USDINR","OPTION","26-Jun-2025",88.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.01,0.035,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.01,"USDINR"
"15300","OPTCUR","USDINR","OPTION","26-Jun-2025",80.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.5525,5.2425,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.6525,"USDINR"
"15330","OPTCUR","USDINR","OPTION","26-Jun-2025",84.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",1.0475,1.6025,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.1125,"USDINR"
"2435","OPTCUR","EURINR","OPTION","26-Jun-2025",96.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",2.6275,4.1425,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.0125,"EURINR"
"2810","OPTCUR","GBPINR","OPTION","26-Jun-2025",112.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",2.3,3.845,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.475,"GBPINR"
"2028","OPTCUR","EURINR","OPTION","26-Jun-2025",91.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.015,0.07,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0975,"EURINR"
"2809","OPTCUR","GBPINR","OPTION","26-Jun-2025",112.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.515,1.16,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.9675,"GBPINR"
"2610","OPTCUR","GBPINR","OPTION","26-Jun-2025",103.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.0025,0.0175,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.01,"GBPINR"
"2622","OPTCUR","GBPINR","OPTION","26-Jun-2025",104.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",9.5125,11.7275,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",9.89,"GBPINR"
"15472","OPTCUR","EURINR","OPTION","26-Jun-2025",83.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",14.7525,16.7075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",8.125,"EURINR"
"2000","OPTCUR","EURINR","OPTION","26-Jun-2025",91.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",7.115,9.04,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.2675,"EURINR"
"1931","OPTCUR","EURINR","OPTION","26-Jun-2025",88.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",10.05,12.005,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",9.19,"EURINR"
"1245","OPTCUR","EURINR","OPTION","26-Jun-2025",95.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",2.98,4.565,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.3225,"EURINR"
"4471","OPTCUR","EURINR","OPTION","26-Jun-2025",96.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.3975,0.9225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.2225,"EURINR"
"2433","OPTCUR","EURINR","OPTION","26-Jun-2025",96.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",2.8025,4.3525,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.165,"EURINR"
"2434","OPTCUR","EURINR","OPTION","26-Jun-2025",96.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.27,0.68,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.915,"EURINR"
"3967","OPTCUR","GBPINR","OPTION","26-Jun-2025",112.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",2.155,3.655,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.3225,"GBPINR"
"4470","OPTCUR","EURINR","OPTION","26-Jun-2025",96.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",2.3,3.735,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.7275,"EURINR"
"2821","OPTCUR","GBPINR","OPTION","26-Jun-2025",112.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.57,1.26,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.0575,"GBPINR"
"1791","FUTCUR","USDINR","FUTURE","26-Jun-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",36510,1,1000,0.0025,"US Dollar - Indian Rupee","","","","",83.1075,88.25,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",85.4225,"USDINR"
"1820","OPTCUR","EURINR","OPTION","26-Jun-2025",84.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"EURINR"
"1940","OPTCUR","EURINR","OPTION","26-Jun-2025",88.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0075,"EURINR"
"2041","OPTCUR","EURINR","OPTION","26-Jun-2025",92.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.025,0.095,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.135,"EURINR"
"2503","OPTCUR","GBPINR","OPTION","26-Jun-2025",100.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"GBPINR"
"2625","OPTCUR","GBPINR","OPTION","26-Jun-2025",104.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",9.265,11.48,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",9.645,"GBPINR"
"2730","OPTCUR","GBPINR","OPTION","26-Jun-2025",107.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.0475,0.1775,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.1225,"GBPINR"
"2853","OPTCUR","GBPINR","OPTION","26-Jun-2025",111.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",2.93,4.64,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.1425,"GBPINR"
"15328","OPTCUR","USDINR","OPTION","26-Jun-2025",84.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",1.2375,1.8225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.305,"USDINR"
"15360","OPTCUR","USDINR","OPTION","26-Jun-2025",88.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0125,0.0525,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0175,"USDINR"
"1856","OPTCUR","EURINR","OPTION","26-Jun-2025",85.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"EURINR"
"1965","OPTCUR","EURINR","OPTION","26-Jun-2025",89.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.015,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.02,"EURINR"
"2059","OPTCUR","EURINR","OPTION","26-Jun-2025",93.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0475,0.1725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.245,"EURINR"
