"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"874759","FUTIND","BSESEN","FUTURE","27-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",5600,0,20,5,"BSE SENSEX","","","","",72630.45,88770.6,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8077515,"SENSEX"
"874879","FUTIND","BANKEX","FUTURE","27-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",60,0,30,5,"BANKEX","","","","",56600.95,69178.95,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6169995,"BANKEX"
"1100924","FUTIND","BSESEN","FUTURE","24-Jun-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",220,0,20,5,"BSE SENSEX","","","","",72990.05,89210.1,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7964030,"SENSEX"
"1100996","FUTIND","BANKEX","FUTURE","24-Jun-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,30,5,"BANKEX","","","","",55872.65,68288.8,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",5958013,"BANKEX"
"1101325","FUTIND","BSESEN","FUTURE","13-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",8040,0,20,5,"BSE SENSEX","","","","",72512,88625.75,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8064450,"SENSEX"
"1141118","FUTIND","BANKEX","FUTURE","29-Jul-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,30,5,"BANKEX","","","","",56208.55,68699.35,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6298174,"BANKEX"
"1124583","FUTIND","BSESEN","FUTURE","03-Jun-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",60,0,20,5,"BSE SENSEX","","","","",72925.75,89131.5,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8112095,"SENSEX"
"1136192","FUTIND","BSESEN","FUTURE","10-Jun-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",73013.2,89238.35,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7959559,"SENSEX"
"1140932","FUTIND","BSESEN","FUTURE","29-Jul-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",40,0,20,5,"BSE SENSEX","","","","",73628.45,89990.3,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8190255,"SENSEX"
"1141074","FUTIND","BSESEN","FUTURE","17-Jun-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",73100.8,89345.45,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8028838,"SENSEX"
"1104009","FUTIND","BSESEN","FUTURE","20-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",220,0,20,5,"BSE SENSEX","","","","",72561.45,88686.2,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8074090,"SENSEX"
"842522","OPTIND","BSESEN","OPTION","30-Sep-2025","73000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",118.1,1135.9,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"842606","OPTIND","BSESEN","OPTION","24-Jun-2025","73000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",4987.2,11056.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
